Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL10B104KB8NNNC,C_0603_1608Metric,102.108,-62.673066,180.0,bottom
CN1,B2B-XH-A (LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,106.66,-61.976,0.0,top
CN2,B2B-XH-A (LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,106.66,-68.326,0.0,top
J1,B-2100S08P-A110,PinHeader_1x08_P2.54mm_Vertical,99.06,-64.77,0.0,bottom
J2,B-2100S08P-A110,PinHeader_1x08_P2.54mm_Vertical,111.76,-64.86,0.0,bottom
J3,ZX-PZ2.0-1-2PZZ,PinHeader_1x02_P2.00mm_Vertical,108.458,-73.152,90.0,top
L1,ACT1210-510-2P-TL00,CHOKE_10-2P-TL00_TDK,106.68,-58.674,270.0,bottom
R1,RC0805FR-07120RL,R_0805_2012Metric,104.14,-73.152,180.0,bottom
U1,TCAN1044ADRBRQ1,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,102.614332,-59.513474,90.0,bottom
